DBN,School Name,Enrollment,Instruction and Performance - Rating,Teaching Environment - School Percent Positive,Family Involvement - School Percent Positive,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Average Student Attendance,Advising and Planning - School Percent Positive
06M293,City College Magnet School of the Arts,340,Excellent,,0.83,0.877,0.144,0.812,0.887,
06M346,Community Health Academy of the Heights,348,Good,0.96,0.97,0.929,0.19,0.845,0.86,0.94
06M348,Washington Heights Expeditionary Learning School,405,Good,0.73,0.94,0.899,0.128,0.844,0.848,0.88
06M462,The College Academy,350,Excellent,0.94,0.86,,0.366,0.811,0.859,0.9
06M463,High School for Media and Communications,363,Good,0.85,0.89,,0.496,0.791,0.802,0.87
06M467,High School for Law and Public Service,502,Fair,0.83,1.0,,0.556,0.711,0.826,0.9
06M468,High School for Health Careers and Sciences,425,Fair,0.77,0.99,0.947,0.369,0.793,0.846,0.87
06M540,A. Philip Randolph Campus High School,1408,Fair,,0.72,0.914,0.222,0.833,0.818,
06M552,Gregorio Luperon High School for Science and Mathematics,662,Excellent,0.93,0.91,,0.406,0.737,0.886,0.91
07X221,South Bronx Preparatory: A College Board School,369,Good,0.83,0.81,,0.168,0.905,0.907,0.88
07X223,The Laboratory School of Finance and Technology: X223,387,Excellent,0.91,0.89,0.935,0.155,0.879,0.903,0.92
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",727,Fair,0.88,0.86,0.95,0.231,0.909,0.803,0.91
07X334,International Community High School,357,Good,0.91,0.8,,0.529,0.672,0.834,0.93
07X427,Community School for Social Justice,187,Fair,0.96,0.86,0.945,0.273,0.861,0.801,0.94
07X473,Mott Haven Village Preparatory High School,193,Fair,0.85,0.89,,0.228,,0.827,0.87
07X495,University Heights Secondary School,595,Excellent,0.98,0.96,0.852,0.126,0.77,0.918,0.93
07X500,Hostos-Lincoln Academy of Science,305,Good,0.86,0.81,0.916,0.157,0.859,0.839,0.91
07X522,Bronx Design and Construction Academy,222,Fair,0.85,0.85,0.93,0.23,0.896,0.875,0.88
07X527,Bronx Leadership Academy II High School,375,Fair,0.79,0.91,,0.253,0.891,0.833,0.92
07X548,Careers in Sports High School,453,Fair,0.93,0.8,,0.223,0.916,0.82,0.9
07X551,The Urban Assembly Bronx Academy of Letters,296,Fair,0.88,0.89,,0.209,,0.796,0.85
07X600,Alfred E. Smith Career and Technical Education High School,413,Good,0.78,0.93,0.944,0.223,0.877,0.817,0.88
07X625,Bronx Legacy High School,258,Fair,0.63,0.82,0.937,0.252,0.876,0.807,0.85
07X670,Health Opportunities High School,223,Fair,0.62,0.92,,0.296,0.857,0.807,0.83
08X269,Bronx Studio School for Writers and Artists,314,Fair,0.78,0.84,0.942,0.156,0.901,0.854,0.83
08X282,Women's Academy of Excellence,168,Fair,0.82,0.93,0.919,0.238,0.833,0.861,0.87
08X293,Renaissance High School for Musical Theater and the Arts,383,Good,0.92,0.85,0.841,0.112,0.794,0.857,0.89
08X312,Millennium Art Academy,345,Good,0.94,0.94,0.907,0.125,0.867,0.862,0.9
08X320,Pelham Lab High School,286,Fair,0.91,0.9,0.914,0.154,0.829,0.809,0.86
08X348,Schuylerville Preparatory High School,328,Fair,0.73,0.81,0.891,0.152,0.814,0.814,0.83
08X349,Bronx River High School,416,Good,0.82,0.91,0.87,0.137,0.81,0.882,0.89
08X367,"Archimedes Academy for Math, Science and Technology Applications",268,Fair,0.82,0.91,0.918,0.168,0.862,0.805,0.79
08X376,Antonia Pantoja Preparatory Academy: A College Board School,258,Fair,0.96,0.94,0.946,0.155,0.88,0.818,0.85
08X405,Herbert H. Lehman High School,1065,Fair,0.85,0.84,0.821,0.116,0.757,0.884,0.84
08X432,Bronx Bridges High School,366,Good,0.88,0.95,,0.292,0.667,0.867,0.88
08X452,Gotham Collaborative High School,295,Fair,0.92,0.84,,0.247,0.841,0.853,0.9
08X530,Longwood Preparatory Academy,361,Fair,0.88,0.86,0.933,0.202,0.878,0.843,0.89
08X558,Westchester Square Academy,406,Fair,0.71,0.79,0.888,0.138,0.815,0.83,0.83
08X561,Bronx Compass High School,410,Fair,0.83,0.87,0.919,0.127,0.854,0.836,0.85
08X636,Virtual Innovators Academy,248,,0.95,0.95,0.799,0.105,0.742,0.876,0.89
