DBN,School Name,borough,district,school_indentifier,Latitude,Longitude,geometry
02M411,Baruch College Campus High School,Manhattan,2,411,40.741888,-73.985723,POINT (-8236053.010299999 4974344.425499998)
02M412,N.Y.C. Lab School for Collaborative Studies,Manhattan,2,412,40.742512,-74.002222,POINT (-8237889.670600001 4974436.107699998)
02M413,School of the Future High School,Manhattan,2,413,40.739121,-73.985323,POINT (-8236008.4825 4973937.890000001)
02M414,N.Y.C. Museum School,Manhattan,2,414,40.742512,-74.002222,POINT (-8237889.670600001 4974436.107699998)
02M416,Eleanor Roosevelt High School,Manhattan,2,416,40.770288,-73.953276,POINT (-8232441.026799999 4978518.012199998)
02M418,Millennium High School,Manhattan,2,418,40.704697,-74.011202,POINT (-8238889.319599999 4968881.631300002)
02M419,Landmark High School,Manhattan,2,419,40.743407,-74.00254,POINT (-8237925.0702 4974567.608499996)
02M420,High School for Health Professions and Human Services,Manhattan,2,420,40.732665,-73.98259,POINT (-8235704.2464000005 4972989.421899997)
02M422,Quest to Learn,Manhattan,2,422,40.743407,-74.00254,POINT (-8237925.0702 4974567.608499996)
02M425,Leadership and Public Service High School,Manhattan,2,425,40.708971,-74.012465,POINT (-8239029.916200001 4969509.2619)
02M427,Manhattan Academy For Arts & Language,Manhattan,2,427,40.74651,-73.98107,POINT (-8235535.0407 4975023.540600002)
02M432,Murray Hill Academy,Manhattan,2,432,40.74651,-73.98107,POINT (-8235535.0407 4975023.540600002)
02M437,Hudson High School of Learning Technologies,Manhattan,2,437,40.743407,-74.00254,POINT (-8237925.0702 4974567.608499996)
02M438,International High School at Union Square,Manhattan,2,438,40.735361,-73.987064,POINT (-8236202.289799999 4973385.487300001)
02M439,Manhattan Village Academy,Manhattan,2,439,40.741963,-73.991966,POINT (-8236747.9779 4974355.445)
02M449,Vanguard High School,Manhattan,2,449,40.765638,-73.959777,POINT (-8233164.7148 4977834.538800001)
02M459,Manhattan International High School,Manhattan,2,459,40.765638,-73.959777,POINT (-8233164.7148 4977834.538800001)
02M475,Stuyvesant High School,Manhattan,2,475,40.718025,-74.013921,POINT (-8239191.997300001 4970838.961599998)
02M489,High School of Economics and Finance,Manhattan,2,489,40.70927,-74.012328,POINT (-8239014.6654 4969553.171099998)
02M500,Unity Center for Urban Technologies,Manhattan,2,500,40.74651,-73.98107,POINT (-8235535.0407 4975023.540600002)
02M507,Urban Assembly Gateway School for Technology,Manhattan,2,507,40.763655,-73.990318,POINT (-8236564.523399999 4977543.085000001)
02M519,Talent Unlimited High School,Manhattan,2,519,40.765638,-73.959777,POINT (-8233164.7148 4977834.538800001)
02M520,Murry Bergtraum High School for Business Careers,Manhattan,2,520,40.711441,-74.000851,POINT (-8237737.0516 4969871.996100001)
02M529,Jacqueline Kennedy Onassis High School,Manhattan,2,529,40.757626,-73.98346,POINT (-8235801.0943 4976657.0189)
02M531,Repertory Company High School for Theatre Arts,Manhattan,2,531,40.756089,-73.984381,POINT (-8235903.6196 4976431.1428999975)
02M533,Union Square Academy for Health Sciences,Manhattan,2,533,40.735361,-73.987064,POINT (-8236202.289799999 4973385.487300001)
02M534,Harvest Collegiate High School,Manhattan,2,534,40.736416,-73.995731,POINT (-8237167.095799999 4973540.480099998)
02M542,Manhattan Bridges High School,Manhattan,2,542,40.765474,-73.9927,POINT (-8236829.6864 4977810.434299998)
02M543,New Design High School,Manhattan,2,543,40.717329,-73.989329,POINT (-8236454.428400001 4970736.738399997)
02M545,High School for Dual Language and Asian Studies,Manhattan,2,545,40.717329,-73.989329,POINT (-8236454.428400001 4970736.738399997)
02M546,Academy for Software Engineering,Manhattan,2,546,40.735361,-73.987064,POINT (-8236202.289799999 4973385.487300001)
02M551,Urban Assembly New York Harbor School,Manhattan,2,551,40.689493,-74.018941,POINT (-8239750.8212 4966649.272600003)
02M580,Richard R. Green High School of Teaching,Manhattan,2,580,40.705688,-74.013303,POINT (-8239123.2019 4969027.154600002)
02M600,The High School of Fashion Industries,Manhattan,2,600,40.745677,-73.996354,POINT (-8237236.447799999 4974901.143600002)
02M605,Humanities Preparatory Academy,Manhattan,2,605,40.743407,-74.00254,POINT (-8237925.0702 4974567.608499996)
02M615,Chelsea Career and Technical Education High School,Manhattan,2,615,40.72463,-74.005058,POINT (-8238205.3727 4971809.107299998)
02M630,Art and Design High School,Manhattan,2,630,40.759248,-73.967204,POINT (-8233991.4847 4976895.391999997)
02M655,The High School for Climate Justice,Manhattan,2,655,40.783286,-73.945933,POINT (-8231623.607799999 4980428.7579)
03M291,West End Secondary School,Manhattan,3,291,40.772608,-73.988338,POINT (-8236344.1108 4978859.031900004)
03M307,"Urban Assembly School for Media Studies, The",Manhattan,3,307,40.774891,-73.985608,POINT (-8236040.2086 4979194.624499999)
03M402,The Urban Assembly School for Green Careers,Manhattan,3,402,40.786134,-73.974483,POINT (-8234801.7793000005 4980847.472499996)
03M403,The Global Learning Collaborative,Manhattan,3,403,40.786134,-73.974483,POINT (-8234801.7793000005 4980847.472499996)
03M415,Wadleigh Secondary School for the Performing & Visual Arts,Manhattan,3,415,40.80261,-73.954152,POINT (-8232538.5427 4983270.136200003)
03M417,Frank McCourt High School,Manhattan,3,417,40.786134,-73.974483,POINT (-8234801.7793000005 4980847.472499996)
03M479,Beacon High School,Manhattan,3,479,40.760858,-73.996262,POINT (-8237226.2064 4977132.007299997)
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Manhattan,3,485,40.774202,-73.985976,POINT (-8236081.1742 4979093.342799999)
03M492,"High School for Law, Advocacy and Community Justice",Manhattan,3,492,40.774891,-73.985608,POINT (-8236040.2086 4979194.624499999)
03M494,High School of Arts and Technology,Manhattan,3,494,40.774891,-73.985608,POINT (-8236040.2086 4979194.624499999)
03M541,Manhattan / Hunter Science High School,Manhattan,3,541,40.774891,-73.985608,POINT (-8236040.2086 4979194.624499999)
03M610,Young Women's Leadership School,Manhattan,3,610,40.797136,-73.966779,POINT (-8233944.173900001 4982465.161700003)
03M859,Special Music School,Manhattan,3,859,40.775256,-73.982976,POINT (-8235747.2157000005 4979248.279200003)
03M860,Frederick Douglass Academy II Secondary School,Manhattan,3,860,40.80261,-73.954152,POINT (-8232538.5427 4983270.136200003)
04M372,Esperanza Preparatory Academy,Manhattan,4,372,40.792556,-73.942285,POINT (-8231217.5143 4981791.704599999)
04M435,Manhattan Center for Science and Mathematics,Manhattan,4,435,40.794184,-73.932868,POINT (-8230169.218599999 4982031.0854)
04M495,Park East High School,Manhattan,4,495,40.790191,-73.944092,POINT (-8231418.6686 4981443.965999998)
04M555,Central Park East High School,Manhattan,4,555,40.793649,-73.948488,POINT (-8231908.029100001 4981952.418399997)
04M680,"Heritage School, The",Manhattan,4,680,40.791966,-73.946879,POINT (-8231728.915999999 4981704.952600002)
05M148,Eagle Academy for Young Men of Harlem,Manhattan,5,148,40.817228,-73.947151,POINT (-8231759.1949000005 4985420.0995000005)
05M157,The Urban Assembly School for Global Commerce,Manhattan,5,157,40.807019,-73.938714,POINT (-8230819.9924 4983918.546300001)
