DBN,School Name,Enrollment,Instruction and Performance - Rating,Teaching Environment - School Percent Positive,Family Involvement - School Percent Positive,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Average Student Attendance,Advising and Planning - School Percent Positive,N count - Postsecondary Enrollment Rate - 6 Months,Metric Value - Postsecondary Enrollment Rate - 6 Months,N count - 4-Year High School Persistence Rate,Metric Value - 4-Year High School Persistence Rate,Metric Value - 4-Year Graduation Rate - All Students,N count - 4-Year Graduation Rate - All Students,Metric Value - 4-Year College and Career Readiness - All Students,readiness_gap,Student Support - School Percent Positive
03M479,Beacon High School,1378,Excellent,,0.76,0.562,0.049,0.502,0.942,,371,0.827,347,0.997,0.974,347,75.8,-74.826,
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,2248,Excellent,0.74,0.88,0.344,0.028,0.253,0.949,0.8,440,0.805,463,0.989,0.972,463,84.2,-83.228,71%
03M492,"High School for Law, Advocacy and Community Justice",531,Fair,0.64,0.82,0.897,0.269,0.806,0.732,0.77,96,0.688,96,0.917,0.771,96,42.2,-41.429,58%
03M494,High School of Arts and Technology,393,Fair,0.64,0.97,0.92,0.142,0.86,0.776,0.86,98,0.602,90,0.911,0.867,90,43.2,-42.333,71%
03M541,Manhattan / Hunter Science High School,449,Excellent,0.76,0.79,0.699,0.085,0.606,0.951,0.86,108,0.917,106,1,1,106,87.5,-86.5,79%
03M610,Young Women's Leadership School,268,Excellent,0.91,0.79,0.857,0.123,0.78,0.89,0.89,77,0.922,63,1,0.984,63,71.3,-70.316,77%
03M859,Special Music School,176,Excellent,0.96,0.93,0.337,0.04,0.239,0.927,0.9,47,0.894,48,1,1,48,82.9,-81.9,81%
03M860,Frederick Douglass Academy II Secondary School,263,Fair,0.72,0.8,,0.24,0.909,0.88,0.83,58,0.586,64,0.969,0.875,64,39.8,-38.925,69%
04M372,Esperanza Preparatory Academy,347,Fair,0.79,0.84,,0.366,0.821,0.84,0.85,67,0.373,86,0.919,0.837,86,34.8,-33.963,71%
04M435,Manhattan Center for Science and Mathematics,1655,Excellent,0.94,0.79,0.754,0.114,0.677,0.942,0.92,397,0.854,334,0.985,0.976,334,83.5,-82.524,87%
04M495,Park East High School,399,Excellent,0.84,0.86,0.786,0.108,0.692,0.915,0.92,98,0.796,87,0.989,0.989,87,81.9,-80.911,83%
04M555,Central Park East High School,480,Excellent,0.91,0.82,0.785,0.088,0.715,0.954,0.93,121,0.826,118,1,1,118,81.4,-80.4,85%
04M680,"Heritage School, The",230,Fair,0.89,0.79,0.933,0.161,0.887,0.838,0.89,63,0.508,56,0.946,0.911,56,37.3,-36.389,74%
05M148,Eagle Academy for Young Men of Harlem,177,Good,0.69,0.7,0.923,0.232,0.831,0.817,0.92,37,0.459,41,0.902,0.9,40,37.6,-36.7,80%
05M157,The Urban Assembly School for Global Commerce,159,Needs Improvement,0.67,0.95,0.95,0.346,0.868,0.779,0.82,25,0.4,38,0.789,0.737,38,30,-29.263,69%
05M304,Mott Hall High School,278,Good,0.89,0.83,0.936,0.327,0.766,0.785,0.87,46,0.652,50,0.94,0.86,50,37.5,-36.64,75%
05M362,Columbia Secondary School,423,Excellent,0.57,0.82,0.541,0.04,0.421,0.942,0.85,97,0.794,104,0.99,0.971,104,87.3,-86.329,69%
05M369,Urban Assembly School for the Performing Arts,175,Fair,0.68,0.81,0.908,0.211,0.851,0.782,0.83,71,0.62,31,0.871,0.871,31,44.1,-43.229,73%
