Primary_Key,DBN,Subgroup,n_count_ccr,ccr_rate,n_count_graduation_rate,graduation_rate,n_count_hs_persistence_rate,hs_persistence_rate,n_count_90pct_attendance,90pct_attendance_rate,n_count_enrollment,enrollment_rate,readiness_gap
84X597_Asian,84X597,Asian,,,2,,2,,19,0.684,3,,
84X597_Black,84X597,Black,,,40,0.975,40,1.0,163,0.761,38,0.737,
84X597_Hispanic or Latinx,84X597,Hispanic,,,66,0.894,66,0.97,296,0.682,52,0.692,
84X597_White,84X597,White,,,,,,,,,1,,
84X611_Asian,84X611,Asian,,,,,,,2,,,,
84X611_Black,84X611,Black,,,30,1.0,30,1.0,100,0.6,24,0.708,
84X611_Hispanic or Latinx,84X611,Hispanic,,,77,0.935,77,0.961,348,0.601,60,0.683,
84X611_White,84X611,White,,,,,,,,,,,
84X614_Asian,84X614,Asian,,,,,,,1,,,,
84X614_Black,84X614,Black,,,27,0.963,27,1.0,221,0.57,45,0.822,
84X614_Hispanic or Latinx,84X614,Hispanic,,,53,0.981,53,0.981,276,0.464,40,0.75,
84X614_White,84X614,White,,,1,,1,,,,2,,
84X617_Asian,84X617,Asian,,,2,,2,,8,,,,
84X617_Black,84X617,Black,,,103,0.951,103,0.99,616,0.739,,,
84X617_Hispanic or Latinx,84X617,Hispanic,,,177,0.944,177,0.989,841,0.675,,,
84X617_White,84X617,White,,,1,,1,,,,,,
84X627_Asian,84X627,Asian,,,,,,,1,,,,
84X627_Black,84X627,Black,,,3,,3,,181,0.807,,,
84X627_Hispanic or Latinx,84X627,Hispanic,,,1,,1,,27,0.778,,,
84X627_White,84X627,White,,,,,,,,,,,
84X635_Asian,84X635,Asian,,,1,,1,,5,,,,
84X635_Black,84X635,Black,,,42,0.905,42,0.952,188,0.218,,,
84X635_Hispanic or Latinx,84X635,Hispanic,,,40,0.975,40,1.0,193,0.171,1,,
84X635_White,84X635,White,,,2,,2,,,,,,
84X640_Asian,84X640,Asian,,,,,,,1,,,,
84X640_Black,84X640,Black,,,,,,,100,0.54,,,
84X640_Hispanic or Latinx,84X640,Hispanic,,,1,,1,,327,0.526,,,
84X640_White,84X640,White,,,,,,,,,,,
84X648_Asian,84X648,Asian,,,,,,,,,,,
84X648_Black,84X648,Black,,,,,,,,,,,
84X648_Hispanic or Latinx,84X648,Hispanic,,,,,,,,,,,
84X648_White,84X648,White,,,,,,,,,,,
84X649_Asian,84X649,Asian,,,,,,,1,,,,
84X649_Black,84X649,Black,,,41,0.805,41,1.0,216,0.454,50,0.68,
84X649_Hispanic or Latinx,84X649,Hispanic,,,34,0.765,34,0.882,166,0.331,22,0.636,
84X649_White,84X649,White,,,,,,,,,,,
84X703_Asian,84X703,Asian,,,,,,,3,,,,
84X703_Black,84X703,Black,,,50,0.9,50,0.94,259,0.622,51,0.745,
84X703_Hispanic or Latinx,84X703,Hispanic,,,40,0.775,40,0.85,223,0.552,38,0.684,
84X703_White,84X703,White,,,1,,1,,,,,,
84X704_Asian,84X704,Asian,,,,,,,,,,,
84X704_Black,84X704,Black,,,25,0.8,25,0.88,131,0.824,26,0.692,
84X704_Hispanic or Latinx,84X704,Hispanic,,,32,0.906,32,0.938,144,0.785,27,0.704,
84X704_White,84X704,White,,,3,,3,,,,,,
