Primary_Key,DBN,Subgroup,n_count_ccr,ccr_rate,n_count_graduation_rate,graduation_rate,n_count_hs_persistence_rate,hs_persistence_rate,n_count_90pct_attendance,90pct_attendance_rate,n_count_enrollment,enrollment_rate,readiness_gap
27Q308_Asian,27Q308,Asian,27,0.007909999999999999,27,1.0,27,1.0,134,0.627,42,0.952,0.20900000000000007
27Q308_Black,27Q308,Black,9,,9,,9,,58,0.638,10,,
27Q308_Hispanic or Latinx,27Q308,Hispanic,84,0.00621,84,0.976,84,0.988,324,0.639,58,0.793,0.355
27Q308_White,27Q308,White,14,,14,,14,,,,20,0.75,
27Q309_Asian,27Q309,Asian,3,,3,,3,,9,,5,,
27Q309_Black,27Q309,Black,44,0.00443,44,0.795,44,0.818,176,0.386,41,0.659,0.3520000000000001
27Q309_Hispanic or Latinx,27Q309,Hispanic,61,0.0039700000000000004,61,0.885,61,0.918,240,0.425,51,0.431,0.488
27Q309_White,27Q309,White,3,,3,,3,,,,2,,
27Q314_Asian,27Q314,Asian,31,0.0045000000000000005,31,0.903,31,0.968,140,0.671,25,0.56,0.453
27Q314_Black,27Q314,Black,30,0.00473,30,0.933,30,0.967,124,0.573,32,0.5,0.4600000000000001
27Q314_Hispanic or Latinx,27Q314,Hispanic,35,0.00382,35,0.8,35,0.857,149,0.624,25,0.4,0.41800000000000004
27Q314_White,27Q314,White,2,,2,,2,,,,3,,
27Q323_Asian,27Q323,Asian,24,0.00904,24,1.0,24,1.0,91,0.802,21,0.952,0.09599999999999997
27Q323_Black,27Q323,Black,28,0.00879,28,1.0,28,1.0,125,0.776,22,0.864,0.121
27Q323_Hispanic or Latinx,27Q323,Hispanic,39,0.00902,39,1.0,39,1.0,166,0.813,33,0.909,0.09799999999999998
27Q323_White,27Q323,White,44,0.0089,44,1.0,44,1.0,,,74,0.919,0.10999999999999999
27Q324_Asian,27Q324,Asian,1,,1,,1,,7,,1,,
27Q324_Black,27Q324,Black,35,0.00339,35,0.8,35,0.8,127,0.378,26,0.346,0.4610000000000001
27Q324_Hispanic or Latinx,27Q324,Hispanic,26,0.00307,26,0.769,26,0.769,125,0.32,23,0.217,0.462
27Q324_White,27Q324,White,3,,3,,3,,,,7,,
27Q334_Asian,27Q334,Asian,34,0.00645,34,1.0,34,1.0,125,0.584,28,0.786,0.355
27Q334_Black,27Q334,Black,14,,14,,14,,54,0.556,15,0.6,
27Q334_Hispanic or Latinx,27Q334,Hispanic,57,0.00433,57,0.895,57,0.912,206,0.529,48,0.521,0.462
27Q334_White,27Q334,White,4,,4,,4,,,,4,,
27Q351_Asian,27Q351,Asian,6,,6,,6,,10,,1,,
27Q351_Black,27Q351,Black,35,0.0033299999999999996,35,0.657,35,0.714,170,0.4,25,0.48,0.32400000000000007
27Q351_Hispanic or Latinx,27Q351,Hispanic,32,0.00319,32,0.813,32,0.844,128,0.367,32,0.188,0.49399999999999994
27Q351_White,27Q351,White,4,,4,,4,,,,3,,
27Q400_Asian,27Q400,Asian,18,0.0060799999999999995,18,0.944,18,0.944,83,0.494,12,,0.33599999999999997
27Q400_Black,27Q400,Black,87,0.00462,87,0.885,87,0.92,354,0.548,78,0.538,0.423
27Q400_Hispanic or Latinx,27Q400,Hispanic,28,0.00504,28,0.893,28,0.893,197,0.447,25,0.32,0.389
27Q400_White,27Q400,White,1,,1,,1,,,,1,,
27Q475_Asian,27Q475,Asian,120,0.00454,120,0.85,120,0.892,558,0.692,116,0.569,0.396
27Q475_Black,27Q475,Black,41,0.00424,41,0.902,41,0.976,180,0.667,39,0.538,0.47800000000000004
27Q475_Hispanic or Latinx,27Q475,Hispanic,249,0.0045000000000000005,249,0.88,249,0.924,1072,0.713,188,0.511,0.43
27Q475_White,27Q475,White,15,0.00413,15,0.933,15,0.933,,,13,,0.52
27Q480_Asian,27Q480,Asian,207,0.0057799999999999995,207,0.884,207,0.903,735,0.597,183,0.574,0.30600000000000005
27Q480_Black,27Q480,Black,136,0.00511,136,0.89,136,0.926,650,0.586,166,0.554,0.379
27Q480_Hispanic or Latinx,27Q480,Hispanic,242,0.00525,242,0.864,242,0.884,1104,0.576,201,0.517,0.33899999999999997
27Q480_White,27Q480,White,24,0.00633,24,0.958,24,0.958,,,21,0.381,0.32499999999999996
27Q650_Asian,27Q650,Asian,91,0.00848,91,0.989,91,0.989,373,0.657,89,0.888,0.14100000000000001
27Q650_Black,27Q650,Black,26,0.006520000000000001,26,0.962,26,1.0,91,0.659,24,0.792,0.30999999999999994
27Q650_Hispanic or Latinx,27Q650,Hispanic,82,0.007659999999999999,82,0.988,82,0.988,435,0.699,93,0.817,0.2220000000000001
27Q650_White,27Q650,White,29,0.007290000000000001,29,1.0,29,1.0,,,40,0.675,0.2709999999999999
28Q157_Asian,28Q157,Asian,,,,,,,1,,,,
28Q157_Black,28Q157,Black,,,,,,,2,,,,
28Q157_Hispanic or Latinx,28Q157,Hispanic,,,,,,,2,,,,
28Q157_White,28Q157,White,,,,,,,,,,,
28Q167_Asian,28Q167,Asian,25,0.00625,25,1.0,25,1.0,101,0.505,12,,0.375
28Q167_Black,28Q167,Black,8,,8,,8,,39,0.667,19,0.632,
28Q167_Hispanic or Latinx,28Q167,Hispanic,57,0.006,57,0.965,57,0.982,251,0.558,40,0.8,0.365
28Q167_White,28Q167,White,14,,14,,14,,,,15,0.8,
28Q284_Asian,28Q284,Asian,13,,13,,13,,75,0.747,15,1.0,
28Q284_Black,28Q284,Black,38,0.00821,38,1.0,38,1.0,170,0.706,48,0.854,0.17900000000000005
28Q284_Hispanic or Latinx,28Q284,Hispanic,8,,8,,8,,35,0.657,4,,
28Q284_White,28Q284,White,,,,,,,,,1,,
28Q310_Asian,28Q310,Asian,31,0.00626,31,1.0,31,1.0,126,0.738,22,0.773,0.374
28Q310_Black,28Q310,Black,36,0.00469,36,0.917,36,0.917,141,0.667,36,0.694,0.44800000000000006
28Q310_Hispanic or Latinx,28Q310,Hispanic,27,0.004039999999999999,27,0.741,27,0.815,146,0.562,24,0.667,0.337
28Q310_White,28Q310,White,5,,5,,5,,,,3,,
28Q325_Asian,28Q325,Asian,17,0.0051600000000000005,17,1.0,17,1.0,113,0.522,21,0.81,0.484
28Q325_Black,28Q325,Black,29,0.00508,29,0.862,29,0.931,132,0.568,39,0.692,0.354
28Q325_Hispanic or Latinx,28Q325,Hispanic,37,0.00455,37,0.919,37,0.946,176,0.472,29,0.552,0.464
28Q325_White,28Q325,White,1,,1,,1,,,,2,,
28Q328_Asian,28Q328,Asian,23,0.00759,23,0.957,23,1.0,154,0.468,26,0.808,0.19799999999999995
28Q328_Black,28Q328,Black,36,0.00614,36,1.0,36,1.0,139,0.647,41,0.78,0.386
28Q328_Hispanic or Latinx,28Q328,Hispanic,45,0.005660000000000001,45,0.978,45,0.978,183,0.464,41,0.732,0.4119999999999999
28Q328_White,28Q328,White,8,,8,,8,,,,1,,
28Q350_Asian,28Q350,Asian,63,0.006520000000000001,63,0.905,63,0.937,230,0.661,54,0.889,0.253
28Q350_Black,28Q350,Black,30,0.00561,30,0.933,30,0.967,124,0.669,32,0.781,0.372
28Q350_Hispanic or Latinx,28Q350,Hispanic,31,0.0040999999999999995,31,0.806,31,0.839,125,0.672,27,0.741,0.3960000000000001
28Q350_White,28Q350,White,4,,4,,4,,,,1,,
28Q440_Asian,28Q440,Asian,215,0.0076300000000000005,215,0.963,215,0.967,870,0.886,218,0.858,0.19999999999999996
28Q440_Black,28Q440,Black,56,0.0043,56,0.786,56,0.875,268,0.675,62,0.661,0.35600000000000004
28Q440_Hispanic or Latinx,28Q440,Hispanic,329,0.00506,329,0.866,329,0.951,1430,0.759,369,0.661,0.36
28Q440_White,28Q440,White,210,0.006579999999999999,210,0.929,210,0.952,,,226,0.841,0.27100000000000013
28Q505_Asian,28Q505,Asian,163,0.00642,163,0.945,163,0.969,683,0.663,164,0.762,0.30299999999999994
28Q505_Black,28Q505,Black,148,0.00469,148,0.872,148,0.939,598,0.659,143,0.699,0.403
28Q505_Hispanic or Latinx,28Q505,Hispanic,246,0.00398,246,0.756,246,0.821,1032,0.516,246,0.439,0.35800000000000004
28Q505_White,28Q505,White,10,,10,,10,,,,16,0.75,
28Q620_Asian,28Q620,Asian,226,0.00788,226,0.942,226,0.978,991,0.757,306,0.905,0.15400000000000003
28Q620_Black,28Q620,Black,87,0.00701,87,0.954,87,0.977,362,0.807,74,0.77,0.253
28Q620_Hispanic or Latinx,28Q620,Hispanic,115,0.006959999999999999,115,0.939,115,0.983,562,0.705,146,0.753,0.243
28Q620_White,28Q620,White,16,0.00686,16,1.0,16,1.0,,,23,0.913,0.31400000000000006
28Q680_Asian,28Q680,Asian,33,0.00935,33,1.0,33,1.0,205,0.829,45,1.0,0.06499999999999995
28Q680_Black,28Q680,Black,16,0.008740000000000001,16,1.0,16,1.0,79,0.835,25,0.92,0.1259999999999999
28Q680_Hispanic or Latinx,28Q680,Hispanic,15,0.00813,15,1.0,15,1.0,77,0.74,9,,0.18700000000000006
28Q680_White,28Q680,White,1,,1,,1,,,,1,,
28Q686_Asian,28Q686,Asian,30,0.008759999999999999,30,1.0,30,1.0,115,0.791,26,0.808,0.12400000000000011
28Q686_Black,28Q686,Black,9,,9,,9,,40,0.55,5,,
28Q686_Hispanic or Latinx,28Q686,Hispanic,111,0.00607,111,0.91,111,0.937,545,0.694,79,0.595,0.30300000000000005
28Q686_White,28Q686,White,85,0.0071400000000000005,85,0.929,85,0.976,,,104,0.731,0.21499999999999997
28Q687_Asian,28Q687,Asian,101,0.00991,101,1.0,101,1.0,384,0.951,119,0.933,0.009000000000000008
28Q687_Black,28Q687,Black,3,,3,,3,,23,0.957,5,,
28Q687_Hispanic or Latinx,28Q687,Hispanic,8,,8,,8,,43,0.884,9,,
28Q687_White,28Q687,White,10,,10,,10,,,,7,,
28Q690_Asian,28Q690,Asian,13,,13,,13,,79,0.899,15,0.533,
28Q690_Black,28Q690,Black,73,0.00336,73,0.945,73,0.973,290,0.759,58,0.517,0.609
28Q690_Hispanic or Latinx,28Q690,Hispanic,32,0.00331,32,0.875,32,0.969,189,0.73,26,0.423,0.544
28Q690_White,28Q690,White,2,,2,,2,,,,1,,
28Q896_Asian,28Q896,Asian,33,0.00866,33,1.0,33,1.0,129,0.628,33,0.909,0.134
28Q896_Black,28Q896,Black,18,0.00737,18,0.944,18,0.944,86,0.581,23,0.87,0.20699999999999996
28Q896_Hispanic or Latinx,28Q896,Hispanic,8,,8,,8,,44,0.636,11,,
28Q896_White,28Q896,White,2,,2,,2,,,,1,,
29Q243_Asian,29Q243,Asian,6,,6,,6,,36,0.444,12,,
29Q243_Black,29Q243,Black,88,0.0054600000000000004,88,0.977,88,0.977,345,0.51,80,0.6,0.43099999999999994
29Q243_Hispanic or Latinx,29Q243,Hispanic,12,,12,,12,,61,0.459,22,0.5,
29Q243_White,29Q243,White,1,,1,,1,,,,1,,
29Q248_Asian,29Q248,Asian,2,,2,,2,,21,0.524,4,,
29Q248_Black,29Q248,Black,65,0.00418,65,0.785,65,0.938,269,0.665,46,0.609,0.36700000000000005
29Q248_Hispanic or Latinx,29Q248,Hispanic,7,,7,,7,,62,0.484,13,,
29Q248_White,29Q248,White,2,,2,,2,,,,2,,
29Q259_Asian,29Q259,Asian,7,,7,,7,,33,0.667,4,,
29Q259_Black,29Q259,Black,66,0.00625,66,0.985,66,0.985,348,0.882,61,0.803,0.36
29Q259_Hispanic or Latinx,29Q259,Hispanic,8,,8,,8,,66,0.803,1,,
29Q259_White,29Q259,White,1,,1,,1,,,,2,,
29Q265_Asian,29Q265,Asian,5,,5,,5,,21,0.619,2,,
29Q265_Black,29Q265,Black,110,0.0051400000000000005,110,0.955,110,0.964,384,0.747,86,0.616,0.44099999999999995
29Q265_Hispanic or Latinx,29Q265,Hispanic,22,0.0042,22,0.773,22,0.909,95,0.537,13,,0.35300000000000004
29Q265_White,29Q265,White,2,,2,,2,,,,4,,
29Q272_Asian,29Q272,Asian,13,,13,,13,,31,0.774,9,,
29Q272_Black,29Q272,Black,77,0.00427,77,0.883,77,0.974,285,0.807,48,0.625,0.45599999999999996
29Q272_Hispanic or Latinx,29Q272,Hispanic,27,0.0037799999999999995,27,0.704,27,0.889,121,0.719,12,,0.326
29Q272_White,29Q272,White,2,,2,,2,,,,2,,
29Q283_Asian,29Q283,Asian,2,,2,,2,,18,0.667,3,,
29Q283_Black,29Q283,Black,71,0.005679999999999999,71,0.887,71,0.986,287,0.794,66,0.697,0.31900000000000006
29Q283_Hispanic or Latinx,29Q283,Hispanic,7,,7,,7,,88,0.716,5,,
29Q283_White,29Q283,White,1,,1,,1,,,,5,,
29Q313_Asian,29Q313,Asian,9,,9,,9,,42,0.476,11,,
29Q313_Black,29Q313,Black,61,0.00494,61,0.918,61,0.934,257,0.63,46,0.587,0.42400000000000004
29Q313_Hispanic or Latinx,29Q313,Hispanic,9,,9,,9,,75,0.4,14,,
29Q313_White,29Q313,White,1,,1,,1,,,,1,,
29Q326_Asian,29Q326,Asian,9,,9,,9,,34,0.441,7,,
29Q326_Black,29Q326,Black,52,0.0045899999999999995,52,0.923,52,0.962,235,0.672,56,0.625,0.4640000000000001
29Q326_Hispanic or Latinx,29Q326,Hispanic,16,0.00414,16,0.813,16,0.938,74,0.541,13,,0.39899999999999997
29Q326_White,29Q326,White,,,,,,,,,1,,
29Q327_Asian,29Q327,Asian,2,,2,,2,,9,,2,,
29Q327_Black,29Q327,Black,49,0.0045899999999999995,49,0.898,49,0.98,266,0.959,37,0.649,0.43900000000000006
29Q327_Hispanic or Latinx,29Q327,Hispanic,1,,1,,1,,31,0.935,5,,
29Q327_White,29Q327,White,1,,1,,1,,,,2,,
29Q492_Asian,29Q492,Asian,12,,12,,12,,47,0.681,10,,
29Q492_Black,29Q492,Black,91,0.004710000000000001,91,0.912,91,0.956,396,0.636,51,0.49,0.441
29Q492_Hispanic or Latinx,29Q492,Hispanic,19,0.00503,19,0.789,19,0.789,80,0.488,10,,0.28600000000000003
29Q492_White,29Q492,White,,,,,,,,,1,,
29Q498_Asian,29Q498,Asian,12,,12,,12,,40,0.65,6,,
29Q498_Black,29Q498,Black,115,0.00468,115,0.835,115,0.896,440,0.548,81,0.704,0.367
29Q498_Hispanic or Latinx,29Q498,Hispanic,29,0.00548,29,0.897,29,0.897,134,0.47,18,0.667,0.3490000000000001
29Q498_White,29Q498,White,3,,3,,3,,,,3,,
30Q258_Asian,30Q258,Asian,18,0.007340000000000001,18,1.0,18,1.0,80,0.838,18,1.0,0.2659999999999999
30Q258_Black,30Q258,Black,10,,10,,10,,35,0.571,5,,
30Q258_Hispanic or Latinx,30Q258,Hispanic,59,0.0060799999999999995,59,0.949,59,0.966,313,0.7,73,0.781,0.34099999999999997
30Q258_White,30Q258,White,11,,11,,11,,,,13,,
30Q286_Asian,30Q286,Asian,18,0.00812,18,0.944,18,0.944,83,0.699,26,0.923,0.1319999999999999
30Q286_Black,30Q286,Black,8,,8,,8,,28,0.464,4,,
30Q286_Hispanic or Latinx,30Q286,Hispanic,30,0.00621,30,0.933,30,0.967,143,0.678,29,0.966,0.31200000000000006
30Q286_White,30Q286,White,13,,13,,13,,,,13,,
30Q301_Asian,30Q301,Asian,9,,9,,9,,33,0.848,16,0.938,
30Q301_Black,30Q301,Black,19,0.006770000000000001,19,1.0,19,1.0,79,0.684,20,0.7,0.32299999999999995
30Q301_Hispanic or Latinx,30Q301,Hispanic,80,0.00678,80,0.975,80,0.988,351,0.684,73,0.767,0.29700000000000004
30Q301_White,30Q301,White,15,0.00911,15,1.0,15,1.0,,,20,0.75,0.08900000000000008
30Q367_Asian,30Q367,Asian,,,,,,,20,0.8,,,
30Q367_Black,30Q367,Black,,,,,,,26,0.577,,,
30Q367_Hispanic or Latinx,30Q367,Hispanic,,,,,,,114,0.605,,,
30Q367_White,30Q367,White,,,,,,,,,,,
30Q417_Asian,30Q417,Asian,,,,,,,39,0.821,,,
30Q417_Black,30Q417,Black,,,,,,,29,0.655,,,
30Q417_Hispanic or Latinx,30Q417,Hispanic,,,,,,,190,0.742,,,
30Q417_White,30Q417,White,,,,,,,,,,,
30Q445_Asian,30Q445,Asian,116,0.00604,116,0.871,116,0.94,391,0.616,113,0.743,0.267
30Q445_Black,30Q445,Black,31,0.0034100000000000003,31,0.677,31,0.806,129,0.341,33,0.485,0.336
30Q445_Hispanic or Latinx,30Q445,Hispanic,342,0.00433,342,0.819,342,0.906,1370,0.507,272,0.474,0.38599999999999995
30Q445_White,30Q445,White,53,0.00494,53,0.887,53,0.925,,,68,0.603,0.393
30Q450_Asian,30Q450,Asian,37,0.00737,37,0.892,37,0.919,134,0.612,43,0.721,0.15500000000000003
30Q450_Black,30Q450,Black,48,0.00449,48,0.792,48,0.875,205,0.415,49,0.429,0.343
30Q450_Hispanic or Latinx,30Q450,Hispanic,303,0.0049,303,0.792,303,0.908,1308,0.552,369,0.561,0.30200000000000005
30Q450_White,30Q450,White,39,0.00425,39,0.641,39,0.872,,,31,0.548,0.21600000000000003
30Q501_Asian,30Q501,Asian,30,0.00943,30,1.0,30,1.0,84,0.75,27,0.963,0.05700000000000005
30Q501_Black,30Q501,Black,18,0.00602,18,1.0,18,1.0,78,0.551,18,0.778,0.398
30Q501_Hispanic or Latinx,30Q501,Hispanic,58,0.0070799999999999995,58,1.0,58,1.0,245,0.616,50,0.86,0.29200000000000004
30Q501_White,30Q501,White,72,0.00884,72,1.0,72,1.0,,,81,0.802,0.11599999999999999
30Q502_Asian,30Q502,Asian,41,0.00757,41,0.976,41,1.0,155,0.819,36,0.778,0.21899999999999997
30Q502_Black,30Q502,Black,21,0.0037799999999999995,21,0.81,21,0.857,60,0.683,19,0.684,0.4320000000000001
30Q502_Hispanic or Latinx,30Q502,Hispanic,114,0.00513,114,0.86,114,0.904,504,0.702,148,0.595,0.347
30Q502_White,30Q502,White,15,0.006670000000000001,15,0.867,15,0.933,,,11,,0.19999999999999996
30Q555_Asian,30Q555,Asian,18,0.00627,18,0.944,18,0.944,74,0.622,25,0.72,0.31699999999999995
